地区           ,岗位名称             ,招聘机构        ,薪水         ,行业
北京 朝阳区 酒仙桥   ,算法工程师            ,跨越新科技       ,25k-40k    ,互联网
北京 朝阳区 酒仙桥   ,算法工程师            ,同程艺龙        ,25k-50k    ,互联网
北京 海淀区 上地    ,算法工程师            ,新浪网         ,50k-100k   ,互联网
北京           ,资深算法工程师          ,京东集团        ,25k-50k    ,电子商务
北京 朝阳区 酒仙桥   ,广告算法工程师          ,安居客         ,20k-40k    ,互联网
北京 海淀区 双榆树   ,搜索算法工程师          ,今日头条        ,25k-50k    ,移动互联网
北京 海淀区 双榆树   ,广告算法工程师          ,今日头条        ,25k-50k    ,移动互联网
北京           ,算法工程师            ,京东集团        ,25k-50k    ,电子商务
北京 朝阳区 朝外    ,算法工程师            ,蚂蚁金服        ,20k-40k    ,互联网
北京 朝阳区 朝外    ,高级算法工程师          ,蚂蚁金服        ,25k-45k    ,互联网
北京 海淀区 中关村   ,高级算法工程师（Bi）      ,爱奇艺         ,30k-50k    ,互联网
北京 朝阳区 望京    ,算法工程师            ,高德地图        ,50k-80k    ,互联网
北京 海淀区 万柳    ,算法工程师            ,瑞合广祥        ,25k-50k    ,互联网
北京 朝阳区 望京    ,算法工程师            ,阿里巴巴集团      ,25k-50k    ,互联网
北京           ,算法工程师            ,京东集团        ,30k-50k    ,电子商务
北京 朝阳区 安贞    ,算法工程师            ,美菜          ,30k-50k    ,互联网
北京 海淀区 万柳    ,算法工程师            ,清华同方        ,13k-26k    ,计算机软件
北京 海淀区 西北旺   ,算法工程师            ,百度          ,25k-40k    ,互联网
北京 朝阳区 望京    ,算法工程师            ,苏宁云商集团      ,50k-80k    ,互联网
北京 海淀区 双榆树   ,算法工程师            ,今日头条        ,25k-35k    ,移动互联网
北京 海淀区 双榆树   ,算法工程师            ,瑞幸咖啡        ,30k-40k    ,互联网
北京 海淀区 上地    ,算法工程师            ,百度          ,30k-60k    ,互联网
北京 朝阳区 朝外    ,算法工程师            ,绫致时装        ,20k-30k    ,互联网
北京 海淀区 中关村   ,算法工程师            ,搜狐          ,25k-40k    ,移动互联网
北京 海淀区 清河    ,算法工程师            ,小米          ,25k-50k    ,互联网
北京 海淀区 学院路   ,算法工程师            ,歌尔泰克        ,15k-30k    ,智能硬件
北京 大兴区 亦庄    ,算法工程师            ,京东集团        ,30k-50k    ,电子商务
北京 朝阳区 望京    ,算法工程师            ,北京尚德机构      ,40k-60k    ,在线教育
北京 朝阳区 望京    ,算法工程师            ,阿里巴巴零售通     ,25k-26k    ,互联网
北京 昌平区 回龙观   ,算法工程师            ,三一智矿科技      ,20k-40k    ,机械设备/机电/重工
北京 朝阳区 望京    ,算法工程师            ,阿里巴巴集团      ,25k-50k    ,互联网
北京 海淀区 上地    ,算法工程师            ,亚信科技        ,15k-25k    ,计算机软件
北京 海淀区 双榆树   ,算法工程师            ,今日头条        ,25k-50k    ,移动互联网
北京 东城区 雍和宫   ,算法工程师            ,巨化集团        ,23k-30k    ,原材料及加工/模具
北京 海淀区 五棵松   ,算法工程师            ,中国航天科工      ,10k-15k    ,其他行业
北京 海淀区 知春路   ,算法工程师            ,神州优车集团      ,28k-45k·14薪,生活服务
北京 海淀区 双榆树   ,算法工程师            ,神州优车集团      ,20k-35k    ,生活服务
北京 海淀区 万柳    ,算法工程师            ,饿了么         ,25k-50k    ,O2O
北京           ,算法工程师            ,京东集团        ,30k-50k    ,电子商务
北京           ,算法工程师            ,京东集团        ,26k-42k    ,电子商务
北京 朝阳区 北苑    ,算法工程师            ,58到家        ,18k-32k    ,互联网
北京 朝阳区 太阳宫   ,算法工程师            ,Boss直聘      ,20k-40k    ,人力资源服务
北京 朝阳区 望京    ,算法工程师            ,云校          ,25k-50k    ,互联网
北京 朝阳区 酒仙桥   ,算法工程师            ,同程艺龙        ,40k-70k    ,互联网
北京           ,算法工程师            ,京东数字科技      ,30k-50k    ,互联网
北京 东城区 朝阳门   ,算法工程师            ,凡普金科        ,20k-40k    ,互联网金融
北京 朝阳区 北苑    ,算法工程师            ,闲徕互娱        ,35k-65k    ,互联网
北京 朝阳区 亮马桥   ,算法工程师            ,平安科技        ,50k-80k    ,互联网
北京 朝阳区 小营    ,算法工程师            ,小红书         ,25k-50k    ,互联网
北京 海淀区 四季青   ,算法工程师            ,恒信东方        ,25k-50k    ,移动互联网
北京 海淀区 清河    ,算法工程师            ,小米智能科技      ,20k-40k    ,移动互联网
北京 朝阳区 太阳宫   ,算法工程师            ,Boss直聘      ,25k-50k    ,人力资源服务
北京 朝阳区 马甸    ,算法工程师            ,尚层装饰        ,15k-25k    ,装修装饰
北京 朝阳区 望京    ,算法工程师            ,看了吗视频       ,30k-50k    ,移动互联网
北京 朝阳区 望京    ,算法工程师            ,火花思维        ,15k-30k    ,在线教育
北京 海淀区 五棵松   ,算法工程师            ,北京计算机研究所    ,15k-16k    ,其他行业
北京 海淀区 上地    ,算法工程师            ,微博          ,25k-50k    ,互联网
