地区        ,岗位名称                    ,招聘机构               ,薪水     ,行业
北京 朝阳区 太阳宫,python运维开发工程师           ,Boss直聘             ,15k-25k,人力资源服务
北京 大兴区    ,Python自动化运维开发           ,京东数字科技             ,20k-40k,互联网
北京        ,运维开发工程师（Python）         ,Boss直聘             ,20k-40k,人力资源服务
北京 海淀区 中关村,运维开发工程师（监控系统 python方向）  ,去哪儿                ,16k-30k,互联网
北京 朝阳区 朝外 ,Python开发工程师（运维开发）       ,Bespin Global China,15k-30k,互联网
北京 海淀区 四季青,运维开发工程师                 ,首都在线               ,11k-20k,互联网
北京 海淀区 牡丹园,运维开发工程师                 ,医渡云                ,18k-30k,互联网
北京 朝阳区 望京 ,运维开发                    ,DaDa               ,18k-35k,在线教育
北京 海淀区 魏公村,运维开发工程师                 ,嘉为科技               ,10k-20k,计算机服务
北京 朝阳区 酒仙桥,python运维开发工程师           ,北京意泰物联软件科技         ,8k-9k  ,数据服务
北京 海淀区 上地 ,运维开发工程师                 ,百度                 ,30k-60k,互联网
北京 海淀区 西北旺,运维开发工程师                 ,百度                 ,15k-30k,互联网
北京 丰台区 青塔 ,运维开发工程师                 ,Hanalytics         ,15k-30k,互联网
北京 海淀区 西北旺,运维开发工程师                 ,百度                 ,10k-20k,互联网
北京 海淀区 西北旺,运维开发工程师                 ,百度                 ,15k-30k,互联网
北京 海淀区 西北旺,运维开发工程师                 ,百度                 ,15k-25k,互联网
北京 朝阳区 北苑 ,运维工程师                   ,庖丁科技               ,10k-20k,计算机软件
北京 海淀区 西北旺,系统工程师                   ,百度                 ,15k-30k,互联网
北京 海淀区 西北旺,云平台运维研发工程师              ,百度                 ,15k-25k,互联网
北京 海淀区 西北旺,搜索运维部_运维研发工程师           ,百度                 ,15k-30k,互联网
北京 海淀区 西北旺,系统级测试开发工程师              ,百度                 ,20k-30k,互联网
北京 海淀区 西北旺,搜索运维部-手百FEED运维研发工程师（SRE）,百度                 ,15k-30k,互联网
北京 海淀区 西北旺,运维研发工程师 (SRE)           ,百度                 ,15k-30k,互联网
北京 海淀区 西北旺,智能平台研发工程师               ,百度                 ,15k-30k,互联网
北京 海淀区 西北旺,运维工程师                   ,百度                 ,10k-20k,互联网
北京 海淀区 西北旺,搜索生态质量部高级测试开发工程师（大搜索）   ,百度                 ,15k-30k,互联网
