工作年限 ,学历,职位                 ,薪水     ,城市,发布时间
3-5年 ,本科,Python 开发工程师       ,15k-25k,杭州,2018-11-12 09:35:46
1-3年 ,本科,python研发工程师        ,15k-30k,杭州,2018-11-11 11:30:47
3-5年 ,本科,Python工程师          ,15k-30k,成都,2018-11-11 10:37:59
3-5年 ,本科,Python研发工程师        ,17k-24k,北京,2018-11-10 22:44:54
3-5年 ,本科,Python开发师          ,15k-30k,上海,2018-11-09 14:40:11
5-10年,本科,Python工程师          ,20k-35k,北京,2018-11-06 16:36:50
3-5年 ,本科,Python开发工程师        ,18k-36k,北京,2018-11-11 20:05:07
5-10年,本科,python开发工程师        ,25k-40k,上海,2018-11-12 09:51:22
1-3年 ,本科,Python工程师          ,15k-30k,上海,2018-11-08 09:52:50
1-3年 ,本科,python开发           ,4k-6k  ,上海,2018-11-12 09:34:13
3-5年 ,本科,Python开发工程师        ,15k-25k,上海,2018-11-09 18:12:41
3-5年 ,本科,PYTHON开发工程师        ,3k-5k  ,成都,2018-11-10 10:12:15
1-3年 ,本科,Python工程师          ,10k-20k,天津,2018-11-09 08:25:36
1-3年 ,大专,Python工程师          ,8k-15k ,西安,2018-11-09 12:01:16
3-5年 ,本科,Python工程师          ,15k-30k,杭州,2018-11-08 19:22:32
1-3年 ,本科,Python开发工程师        ,10k-20k,苏州,2018-11-09 14:40:12
1-3年 ,大专,Python             ,8k-15k ,西安,2018-11-05 09:49:56
1-3年 ,大专,Python开发工程师        ,13k-25k,深圳,2018-11-07 09:13:30
1-3年 ,本科,Python开发工程师        ,12k-20k,上海,2018-11-09 10:09:39
5-10年,本科,Python高级工程师        ,20k-40k,成都,2018-11-11 10:38:09
3-5年 ,本科,Python 开发工程师       ,10k-20k,杭州,2018-11-06 16:35:37
1-3年 ,本科,Python开发工程师—上海     ,10k-20k,上海,2018-11-11 20:19:43
1-3年 ,本科,Python开发           ,8k-11k ,上海,2018-11-07 10:11:55
不限   ,大专,Python开发工程师        ,10k-20k,北京,2018-11-09 09:55:23
3-5年 ,本科,Python             ,15k-30k,上海,2018-11-08 09:44:24
3-5年 ,本科,python工程师(J11548)  ,25k-40k,北京,2018-11-10 13:22:40
5-10年,本科,Python 开发工程师       ,18k-20k,北京,2018-11-05 16:53:38
应届毕业生,本科,Python开发工程师        ,10k-20k,上海,2018-11-08 17:30:06
不限   ,本科,python             ,20k-40k,北京,2018-11-07 17:02:31
不限   ,不限,Python开发工程师        ,15k-30k,成都,2018-11-12 08:45:44
3-5年 ,本科,Python开发           ,15k-30k,上海,2018-11-09 14:40:13
3-5年 ,本科,python开发           ,10k-15k,广州,2018-11-06 18:42:52
1-3年 ,大专,Python开发工程师        ,20k-40k,北京,2018-11-11 21:17:59
3-5年 ,大专,python开发工程师        ,15k-20k,广州,2018-11-09 09:51:56
3-5年 ,大专,Python软件研发工程师      ,8k-16k ,长沙,2018-11-06 13:40:24
1-3年 ,本科,Python开发工程师        ,10k-15k,武汉,2018-11-10 14:18:12
1-3年 ,本科,Python工程师          ,13k-25k,深圳,2018-11-08 09:45:03
1-3年 ,本科,Python研发工程师        ,15k-25k,北京,2018-11-07 14:57:38
3-5年 ,本科,开发工程师（Python）      ,10k-15k,成都,2018-11-12 08:35:48
3-5年 ,大专,Python开发工程师        ,8k-15k ,成都,2018-11-09 09:59:32
1-3年 ,本科,Python开发工程师        ,8k-15k ,西安,2018-11-06 10:55:50
1-3年 ,本科,Python开发工程师（南京）    ,10k-18k,南京,2018-11-09 12:13:36
3-5年 ,本科,Python高级开发工程师      ,15k-25k,上海,2018-11-09 11:19:15
3-5年 ,本科,Python研发工程师（中高级）   ,15k-25k,北京,2018-11-08 12:20:17
3-5年 ,本科,中高级Python开发工程师     ,20k-30k,北京,2018-11-09 09:51:33
3-5年 ,本科,python开发           ,15k-30k,苏州,2018-11-12 09:52:12
3-5年 ,本科,资深Python研发工程师      ,20k-40k,北京,2018-11-09 11:55:47
3-5年 ,本科,Django/Python/后端开发 ,20k-35k,上海,2018-11-11 11:32:42
1-3年 ,本科,Python             ,8k-10k ,成都,2018-10-26 14:17:09
3-5年 ,本科,Python web开发工程师    ,15k-25k,广州,2018-11-12 09:05:52
3-5年 ,大专,Python开发工程师(J10100),15k-30k,北京,2018-11-09 09:52:35
3-5年 ,本科,Python高级开发工程师      ,18k-36k,北京,2018-11-08 10:25:40
3-5年 ,大专,python 高级工程师       ,20k-35k,北京,2018-11-11 17:17:11
1-3年 ,本科,高级Python工程师        ,20k-35k,北京,2018-11-08 16:53:46
3-5年 ,本科,高级python开发工程师      ,30k-60k,北京,2018-11-08 10:16:05
3-5年 ,不限,Python工程师          ,20k-40k,北京,2018-11-05 15:14:34
3-5年 ,本科,Python开发工程师        ,15k-28k,北京,2018-11-08 10:41:40
3-5年 ,本科,高级python开发工程师      ,10k-20k,成都,2018-11-09 11:54:30
不限   ,本科,python工程师（ai）      ,20k-40k,北京,2018-11-07 17:02:33
3-5年 ,不限,Python开发工程师        ,20k-40k,北京,2018-11-08 10:58:32
