job_company,job_education,job_industry,job_listed,job_location,job_name            ,job_persons,job_salary,job_time ,job_year
跨越新科技      ,本科           ,互联网         ,未融资       ,北京 朝阳区 酒仙桥  ,算法工程师               ,10000人以上   ,25k-40k   ,发布于11:54 ,3-5年
水滴筹        ,本科           ,移动互联网       ,B轮        ,北京 朝阳区 望京   ,算法工程师               ,1000-9999人 ,25k-50k   ,发布于02月25日,3-5年
蚂蚁金服       ,本科           ,互联网         ,C轮        ,北京 朝阳区 呼家楼  ,算法工程师/专家            ,10000人以上   ,30k-60k   ,发布于14:36 ,经验不限
安居客        ,本科           ,互联网         ,已上市       ,北京 朝阳区 酒仙桥  ,广告算法工程师             ,10000人以上   ,20k-40k   ,发布于02月25日,1-3年
京东世纪贸易有限公司 ,本科           ,互联网         ,已上市       ,北京 朝阳区 小营   ,算法工程师               ,10000人以上   ,25k-50k   ,发布于02月20日,5-10年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,算法工程师               ,10000人以上   ,15k-30k   ,发布于昨天    ,应届生
VIPKID     ,本科           ,移动互联网       ,D轮及以上     ,北京 西城区 什刹海  ,算法工程师               ,10000人以上   ,30k-60k   ,发布于昨天    ,3-5年
饿了么        ,硕士           ,O2O         ,D轮及以上     ,北京 海淀区 万柳   ,算法工程师               ,10000人以上   ,25k-50k   ,发布于02月19日,3-5年
Boss直聘     ,本科           ,人力资源服务      ,D轮及以上     ,北京 朝阳区 太阳宫  ,算法工程师               ,1000-9999人 ,80k-110k  ,发布于14:35 ,3-5年
云校         ,本科           ,互联网         ,C轮        ,北京 朝阳区 望京   ,算法工程师               ,1000-9999人 ,25k-50k   ,发布于02月14日,5-10年
马蜂窝        ,本科           ,互联网         ,D轮及以上     ,北京 朝阳区 酒仙桥  ,算法工程师               ,1000-9999人 ,25k-50k   ,发布于02月13日,3-5年
当当         ,本科           ,移动互联网       ,已上市       ,北京 朝阳区 西坝河  ,算法工程师               ,1000-9999人 ,25k-50k   ,发布于02月26日,经验不限
同方威视       ,硕士           ,企业服务        ,未融资       ,北京 海淀区 五道口  ,算法工程师               ,1000-9999人 ,14k-15k   ,发布于昨天    ,应届生
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,视频算法工程师             ,10000人以上   ,25k-50k   ,发布于14:45 ,3-5年
Testin云测   ,硕士           ,互联网         ,D轮及以上     ,北京 朝阳区 酒仙桥  ,算法工程师               ,500-999人   ,20k-40k   ,发布于11:03 ,3-5年
三一集团       ,硕士           ,其他行业        ,已上市       ,北京 昌平区 回龙观  ,感知算法工程师             ,10000人以上   ,50k-80k   ,发布于昨天    ,3-5年
直真科技       ,本科           ,计算机软件       ,未融资       ,北京 朝阳区 望京   ,算法工程师               ,500-999人   ,20k-30k   ,发布于02月26日,3-5年
58到家       ,本科           ,互联网         ,B轮        ,北京          ,资深算法工程师             ,1000-9999人 ,23k-35k   ,发布于14:46 ,5-10年
茂逊         ,本科           ,电子商务        ,C轮        ,北京 朝阳区 望京   ,算法工程师               ,500-999人   ,15k-30k   ,发布于02月15日,1-3年
水滴筹        ,本科           ,移动互联网       ,B轮        ,北京 朝阳区 望京   ,数据挖掘算法工程师           ,1000-9999人 ,25k-50k   ,发布于02月25日,3-5年
Boss直聘     ,本科           ,人力资源服务      ,D轮及以上     ,北京 朝阳区 太阳宫  ,算法工程师               ,1000-9999人 ,20k-40k   ,发布于02月23日,3-5年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 双榆树  ,机器学习算法工程师           ,10000人以上   ,20k-40k   ,发布于02月21日,经验不限
旷视科技       ,硕士           ,移动互联网       ,C轮        ,北京 海淀区 上地   ,视觉算法工程师             ,1000-9999人 ,20k-40k   ,发布于02月18日,1-3年
北京千喜鹤      ,硕士           ,生活服务        ,未融资       ,北京 海淀区 万柳   ,算法工程师               ,10000人以上   ,25k-35k   ,发布于02月25日,5-10年
58集团       ,硕士           ,互联网         ,已上市       ,北京 朝阳区 酒仙桥  ,算法工程师               ,10000人以上   ,30k-50k   ,发布于02月26日,1-3年
丽晶美成       ,硕士           ,咨询          ,未融资       ,北京 海淀区 上地   ,感知算法工程师             ,20-99人     ,25k-50k   ,发布于02月22日,1年以内
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,算法工程师               ,10000人以上   ,20k-40k   ,发布于02月14日,1-3年
阿里巴巴集团     ,本科           ,互联网         ,已上市       ,北京 朝阳区 呼家楼  ,高级算法工程师             ,10000人以上   ,25k-50k   ,发布于02月26日,3-5年
蛋壳公寓       ,本科           ,互联网         ,C轮        ,北京 东城区 朝阳门  ,高级算法工程师             ,1000-9999人 ,30k-60k   ,发布于02月23日,5-10年
瑞幸咖啡       ,本科           ,互联网         ,B轮        ,北京 海淀区 双榆树  ,算法工程师               ,10000人以上   ,30k-40k   ,发布于02月15日,3-5年
滴滴出行       ,硕士           ,移动互联网       ,D轮及以上     ,北京 海淀区 上地   ,算法工程师               ,10000人以上   ,25k-50k   ,发布于02月21日,经验不限
Boss直聘     ,本科           ,人力资源服务      ,D轮及以上     ,北京 朝阳区 太阳宫  ,搜索算法工程师             ,1000-9999人 ,20k-40k   ,发布于02月21日,3-5年
汽车之家       ,本科           ,互联网         ,已上市       ,北京 海淀区 双榆树  ,算法工程师               ,1000-9999人 ,30k-35k   ,发布于02月24日,3-5年
小药药        ,本科           ,医疗健康        ,C轮        ,北京 朝阳区 望京   ,算法工程师               ,1000-9999人 ,30k-50k   ,发布于02月21日,3-5年
达达-京东到家    ,硕士           ,O2O         ,D轮及以上     ,北京 大兴区 亦庄   ,算法工程师               ,1000-9999人 ,25k-50k   ,发布于昨天    ,3-5年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,算法工程师               ,10000人以上   ,30k-50k   ,发布于02月15日,3-5年
微软中国       ,学历不限         ,计算机软件       ,不需要融资     ,北京 海淀区 中关村  ,[社招] 算法工程师          ,10000人以上   ,20k-40k   ,发布于昨天    ,经验不限
闪送科技       ,本科           ,互联网         ,D轮及以上     ,北京 海淀区 上地   ,语音算法工程师             ,500-999人   ,20k-40k   ,发布于02月26日,3-5年
