job_company,job_education,job_industry,job_listed,job_location,job_name       ,job_persons,job_salary,job_time ,job_year
阿里巴巴集团     ,本科           ,互联网         ,已上市       ,北京 朝阳区 望京   ,Java           ,10000人以上   ,20k-40k   ,发布于02月18日,3-5年
达达-京东到家    ,本科           ,O2O         ,D轮及以上     ,北京 大兴区 亦庄   ,Java           ,1000-9999人 ,15k-30k   ,发布于14:43 ,5-10年
蚂蚁金服       ,本科           ,互联网         ,C轮        ,北京 朝阳区 朝外   ,Java           ,10000人以上   ,30k-50k   ,发布于02月18日,5-10年
中科软        ,本科           ,计算机软件       ,已上市       ,北京 昌平区 回龙观  ,Java           ,10000人以上   ,5k-10k    ,发布于02月26日,1年以内
信雅达软件      ,本科           ,计算机软件       ,已上市       ,北京 海淀区 四季青  ,java           ,1000-9999人 ,10k-15k   ,发布于13:39 ,3-5年
柯莱特集团      ,本科           ,计算机软件       ,已上市       ,北京          ,Java           ,1000-9999人 ,10k-13k   ,发布于08:17 ,3-5年
云鸟         ,本科           ,互联网         ,D轮及以上     ,北京 朝阳区 望京   ,Java           ,1000-9999人 ,15k-25k   ,发布于02月18日,3-5年
京北方        ,本科           ,计算机软件       ,D轮及以上     ,北京          ,JAVA中级         ,10000人以上   ,10k-15k   ,发布于02月19日,3-5年
宇信科技       ,本科           ,计算机软件       ,已上市       ,北京 朝阳区 十里堡  ,JAVA           ,1000-9999人 ,13k-20k   ,发布于02月26日,3-5年
软通动力       ,本科           ,计算机软件       ,已上市       ,北京 朝阳区 小营   ,Java           ,10000人以上   ,10k-15k   ,发布于02月22日,3-5年
北京能科瑞元有限公司 ,本科           ,互联网         ,          ,北京 海淀区 中关村  ,java           ,1000-9999人 ,15k-17k   ,发布于02月21日,3-5年
中科软        ,本科           ,计算机软件       ,已上市       ,北京 东城区 和平里  ,Java           ,10000人以上   ,12k-15k   ,发布于02月14日,3-5年
