job_company    ,job_education,job_industry,job_listed,job_location,job_name                  ,job_persons,job_salary,job_time ,job_year
旷视科技           ,本科           ,移动互联网       ,C轮        ,北京 海淀区 中关村  ,Python                    ,1000-9999人 ,20k-30k   ,发布于昨天    ,3-5年
赤骥商贸有限公司       ,大专           ,贸易/进出口      ,未融资       ,北京 朝阳区 朝外   ,PYthon                    ,100-499人   ,12k-24k   ,发布于昨天    ,5-10年
传智播客           ,学历不限         ,在线教育        ,已上市       ,北京 昌平区 回龙观  ,python讲师(J11808)          ,1000-9999人 ,25k-35k   ,发布于02月20日,经验不限
佰钧成技术          ,学历不限         ,计算机软件       ,不需要融资     ,北京 朝阳区 望京   ,Python                    ,1000-9999人 ,12k-19k   ,发布于02月14日,1-3年
iHandy         ,本科           ,移动互联网       ,不需要融资     ,北京 海淀区 五道口  ,Python                    ,100-499人   ,25k-50k   ,发布于02月16日,3-5年
今日头条           ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,Python                    ,10000人以上   ,20k-40k   ,发布于02月14日,3-5年
PACTERA        ,本科           ,计算机软件       ,已上市       ,北京 昌平区 沙河   ,Python                    ,10000人以上   ,9k-14k    ,发布于02月26日,3-5年
蚂蚁金服           ,本科           ,互联网金融       ,C轮        ,北京 朝阳区 朝外   ,Python                    ,10000人以上   ,25k-50k   ,发布于02月18日,3-5年
BoringKillerLtd,本科           ,移动互联网       ,天使轮       ,北京 海淀区 万寿路  ,Python                    ,20-99人     ,20k-25k   ,发布于02月26日,3-5年
文思海辉           ,大专           ,计算机软件       ,已上市       ,北京 海淀区 上地   ,python                    ,10000人以上   ,13k-20k   ,发布于02月25日,3-5年
微奇科技           ,大专           ,计算机软件       ,未融资       ,北京 朝阳区 酒仙桥  ,Python                    ,20-99人     ,17k-22k   ,发布于昨天    ,5-10年
Cloudin云英      ,本科           ,互联网         ,A轮        ,北京 朝阳区 小营   ,Python                    ,100-499人   ,15k-26k   ,发布于02月19日,3-5年
亿达信息           ,大专           ,计算机软件       ,不需要融资     ,北京 朝阳区 望京   ,Python开发                  ,1000-9999人 ,15k-17k   ,发布于02月22日,3-5年
汉得信息           ,学历不限         ,计算机软件       ,已上市       ,北京 朝阳区 望京   ,python爬虫                  ,10000人以上   ,20k-30k   ,发布于14:59 ,5-10年
慧科集团           ,本科           ,在线教育        ,D轮及以上     ,北京 海淀区 知春路  ,Python助教                  ,500-999人   ,8k-13k    ,发布于02月20日,1-3年
58到家           ,本科           ,互联网         ,B轮        ,北京 朝阳区 北苑   ,python工程师                 ,1000-9999人 ,40k-50k   ,发布于02月20日,5-10年
艾唯博瑞           ,本科           ,互联网         ,未融资       ,北京 东城区 东四   ,Python                    ,20-99人     ,15k-25k   ,发布于02月26日,5-10年
一起竞赛网          ,本科           ,在线教育        ,天使轮       ,北京 海淀区 魏公村  ,Python                    ,20-99人     ,10k-15k   ,发布于02月18日,1-3年
中信百信银行         ,本科           ,银行          ,不需要融资     ,北京 朝阳区 小营   ,Python                    ,500-999人   ,20k-40k   ,发布于02月24日,3-5年
海马云            ,本科           ,数据服务        ,C轮        ,北京 朝阳区 酒仙桥  ,Python                    ,100-499人   ,12k-18k   ,发布于02月20日,3-5年
传智播客           ,大专           ,在线教育        ,已上市       ,北京 顺义区 马坡   ,Python就业指导                ,1000-9999人 ,10k-15k   ,发布于02月20日,1-3年
大云科技           ,本科           ,移动互联网       ,A轮        ,北京 朝阳区 高碑店  ,Python                    ,0-20人      ,10k-12k   ,发布于02月17日,1-3年
中软国际           ,本科           ,计算机软件       ,已上市       ,北京 朝阳区 大望路  ,后端python开发                ,10000人以上   ,14k-15k   ,发布于02月14日,1-3年
紫光云            ,本科           ,计算机软件       ,不需要融资     ,北京 海淀区 五道口  ,Python工程师-00225           ,1000-9999人 ,15k-19k   ,发布于02月25日,3-5年
智行未来(北京)...    ,本科           ,互联网         ,未融资       ,北京 朝阳区 对外经贸 ,Python技术总监                ,0-20人      ,30k-60k   ,发布于02月25日,5-10年
美菜网            ,本科           ,移动互联网       ,D轮及以上     ,北京 朝阳区 安贞   ,Python高级工程师/专家            ,10000人以上   ,30k-50k   ,发布于昨天    ,3-5年
慧科集团           ,本科           ,在线教育        ,D轮及以上     ,北京 海淀区 知春路  ,Python讲师                  ,500-999人   ,15k-30k   ,发布于02月20日,5-10年
苏州闻道           ,本科           ,互联网         ,不需要融资     ,北京 丰台区 草桥   ,Python工程师                 ,100-499人   ,12k-20k   ,发布于14:36 ,1-3年
创新奇智           ,硕士           ,计算机服务       ,A轮        ,北京 海淀区 中关村  ,Python工程师                 ,100-499人   ,6k-7k     ,发布于02月22日,经验不限
一号车网           ,本科           ,互联网         ,已上市       ,北京 海淀区 西北旺  ,Python开发工程师               ,1000-9999人 ,15k-28k   ,发布于02月19日,3-5年
今日头条           ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,Python开发工程师               ,10000人以上   ,25k-45k   ,发布于02月16日,1-3年
小米             ,本科           ,互联网         ,已上市       ,北京 海淀区 清河   ,高级Python工程师               ,10000人以上   ,25k-45k   ,发布于11:20 ,3-5年
传智播客           ,本科           ,在线教育        ,已上市       ,北京 昌平区 西三旗  ,python高级研发(J11803)        ,1000-9999人 ,25k-30k   ,发布于02月20日,3-5年
iHandy         ,本科           ,移动互联网       ,不需要融资     ,北京 海淀区 学院路  ,Python开发工程师               ,100-499人   ,15k-30k   ,发布于13:44 ,1-3年
