行号 ,job_company,job_name            ,job_salary
0  ,跨越新科技      ,算法工程师               ,25k-40k
1  ,水滴筹        ,算法工程师               ,25k-50k
2  ,蚂蚁金服       ,算法工程师/专家            ,30k-60k
3  ,安居客        ,广告算法工程师             ,20k-40k
4  ,京东世纪贸易有限公司 ,算法工程师               ,25k-50k
5  ,今日头条       ,算法工程师               ,15k-30k
6  ,VIPKID     ,算法工程师               ,30k-60k
7  ,饿了么        ,算法工程师               ,25k-50k
8  ,Boss直聘     ,算法工程师               ,80k-110k
9  ,云校         ,算法工程师               ,25k-50k
10 ,马蜂窝        ,算法工程师               ,25k-50k
11 ,当当         ,算法工程师               ,25k-50k
12 ,同方威视       ,算法工程师               ,14k-15k
13 ,今日头条       ,视频算法工程师             ,25k-50k
14 ,Testin云测   ,算法工程师               ,20k-40k
15 ,三一集团       ,感知算法工程师             ,50k-80k
16 ,直真科技       ,算法工程师               ,20k-30k
17 ,58到家       ,资深算法工程师             ,23k-35k
18 ,茂逊         ,算法工程师               ,15k-30k
19 ,水滴筹        ,数据挖掘算法工程师           ,25k-50k
20 ,Boss直聘     ,算法工程师               ,20k-40k
21 ,今日头条       ,机器学习算法工程师           ,20k-40k
22 ,旷视科技       ,视觉算法工程师             ,20k-40k
23 ,北京千喜鹤      ,算法工程师               ,25k-35k
24 ,58集团       ,算法工程师               ,30k-50k
25 ,丽晶美成       ,感知算法工程师             ,25k-50k
26 ,今日头条       ,算法工程师               ,20k-40k
27 ,阿里巴巴集团     ,高级算法工程师             ,25k-50k
28 ,蛋壳公寓       ,高级算法工程师             ,30k-60k
29 ,瑞幸咖啡       ,算法工程师               ,30k-40k
30 ,滴滴出行       ,算法工程师               ,25k-50k
31 ,Boss直聘     ,搜索算法工程师             ,20k-40k
32 ,汽车之家       ,算法工程师               ,30k-35k
33 ,小药药        ,算法工程师               ,30k-50k
34 ,达达-京东到家    ,算法工程师               ,25k-50k
35 ,今日头条       ,算法工程师               ,30k-50k
36 ,微软中国       ,[社招] 算法工程师          ,20k-40k
37 ,闪送科技       ,语音算法工程师             ,20k-40k
38 ,随行付金科      ,算法工程师               ,25k-40k
39 ,泛阿网络       ,算法工程师               ,20k-35k
40 ,物联顺通       ,算法工程师               ,20k-40k
41 ,旷视科技       ,算法工程师               ,30k-50k
42 ,去哪儿        ,高级搜索算法工程师           ,20k-40k
43 ,华清科盛       ,算法工程师               ,25k-35k
44 ,锋巢信息       ,算法工程师               ,25k-50k
45 ,华为         ,Camera算法工程师         ,25k-40k
46 ,思源互联科技     ,算法工程师               ,30k-50k
47 ,魔力耳朵       ,算法工程师               ,40k-60k
48 ,泛阿网络       ,算法工程师               ,27k-40k
49 ,今日头条       ,视频算法工程师             ,20k-40k
50 ,京东数字科技     ,算法工程师（SLAM）         ,30k-60k
51 ,小鹏汽车       ,视觉算法工程师             ,6k-7k
52 ,BOE        ,资深算法工程师             ,25k-35k
53 ,京东集团       ,算法工程师               ,30k-60k
54 ,恒润科技       ,控制算法工程师             ,10k-15k
55 ,小药药        ,高级算法工程师             ,40k-70k
56 ,合伙猫        ,风控算法工程师             ,30k-60k
57 ,清华同方       ,深度学习算法工程师           ,30k-60k
58 ,威马汽车       ,引擎算法工程师             ,30k-40k
59 ,三一集团       ,定位与高精地图算法工程师        ,50k-80k
60 ,停简单        ,视觉感知算法工程师           ,20k-40k
61 ,国美在线       ,大数据算法工程师            ,20k-40k
62 ,量化派        ,风控算法工程师             ,15k-25k
63 ,今日头条       ,音频算法工程师             ,25k-50k
64 ,北京新氧万维     ,算法工程师               ,25k-50k
65 ,落角         ,广告算法工程师             ,30k-60k
66 ,海致BDP      ,搜索算法工程师             ,15k-25k
67 ,四维图新       ,C/C++核心算法工程师        ,15k-25k
68 ,河狸家        ,算法工程师(J10834)       ,70k-100k
69 ,百度         ,高级算法工程师             ,30k-35k
70 ,Boss直聘     ,搜索/推荐高级算法工程师        ,30k-50k
71 ,今日头条       ,高级/资深算法工程师-增长方向     ,25k-50k
72 ,百融金服       ,高级算法工程师             ,20k-40k
73 ,界面网        ,高级算法工程师             ,20k-40k
74 ,北京泰豪       ,视觉算法工程师             ,15k-30k
75 ,茄子快传       ,广告算法工程师             ,30k-60k
76 ,百度         ,FEED策略算法工程师         ,20k-40k
77 ,OPPO       ,高级搜索排序算法工程师         ,30k-60k
78 ,创奇视界       ,算法工程师               ,18k-25k
79 ,大汉正源       ,算法工程师               ,20k-40k
80 ,河狸家        ,高级算法工程师             ,30k-50k
81 ,百科名医       ,算法工程师               ,18k-30k
82 ,BOE        ,图像处理算法工程师           ,12k-24k
83 ,映客直播       ,广告算法工程师             ,25k-35k
84 ,今日头条       ,音频算法工程师             ,25k-50k
85 ,下厨房        ,算法工程师               ,15k-25k
86 ,清华同方       ,深度学习算法工程师           ,30k-60k
87 ,量化派        ,初级算法工程师             ,12k-18k
88 ,伊甸工程设计     ,高级算法工程师             ,25k-50k
89 ,弘道智慧中医     ,算法工程师               ,18k-35k
90 ,BOE        ,图像处理算法工程师           ,12k-24k
91 ,映客直播       ,广告算法工程师             ,25k-35k
92 ,今日头条       ,音频算法工程师             ,25k-50k
93 ,量化派        ,初级算法工程师             ,12k-18k
94 ,伊甸工程设计     ,高级算法工程师             ,25k-50k
95 ,清华同方       ,深度学习算法工程师           ,30k-60k
96 ,雪球公司       ,算法工程师               ,30k-60k
97 ,河狸家        ,高级算法工程师             ,30k-50k
